,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Roland Gutierrez,Male,hispanic,,,No,No,Texas,3/5/24,Senator,N/A,,160978,16.64%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Steven J. Keough,Male,White,,,No,No,Texas,3/5/24,Senator,N/A,,21801,2.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Thierry Tchenko,Male,Black,,,No,No,Texas,3/5/24,Senator,N/A,,13395,1.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Bronco Williams,Male,White,,,No,No,Mississippi,3/12/24,Representative,1,,2138,14.97%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dianne Dodson Black,Female,Black,,,No,No,Mississippi,3/12/24,Representative,1,,12147,85.03%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bennie G. Thompson,Male,Black,,,Yes,No,Mississippi,3/12/24,Representative,2,H4MS02068,44295,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Craig Elliot Raybon,Male,White,,,No,No,Mississippi,3/12/24,Representative,4,,9720,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ty Pinkins,Male,Black,,,No,No,Mississippi,3/12/24,Senator,N/A,,82264,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan L. Jackson,Male,Black,,,Yes,No,Illinois,3/19/24,Representative,1,H2IL01349,72420,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robin Kelly,Female,Black,,,Yes,No,Illinois,3/19/24,Representative,2,H2IL02172,56732,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Delia Ramirez,Female,hispanic,,,Yes,No,Illinois,3/19/24,Representative,3,H2IL03162,52644,100.00%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,N/A,Yes,N/A,N/A,Yes,N/A,
"Jesus ""Chuy"" Garcia",Male,hispanic,,,Yes,No,Illinois,3/19/24,Representative,4,H8IL04134,30443,69.62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Raymond A. Lopez,Male,hispanic,,,No,Yes,Illinois,3/19/24,Representative,4,,13286,30.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Mike Quigley,Male,White,,,Yes,No,Illinois,3/19/24,Representative,5,H0IL05096,87002,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Mahnoor Ahmad,Female,middle Eastern ,,,No,Yes,Illinois,3/19/24,Representative,6,,10483,14.24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Sean Casten,Male,White,,,Yes,No,Illinois,3/19/24,Representative,6,H8IL06139,56750,77.11%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Charles M. Hughes,Male,White,,,No,Yes,Illinois,3/19/24,Representative,6,,6366,8.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Nikhil Bhatia,Male,Asian (Indian),,,No,Yes,Illinois,3/19/24,Representative,7,,3808,4.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Kina Collins,Female,Black,,,No,Yes,Illinois,3/19/24,Representative,7,,15188,18.85%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Melissa Conyears-Ervin,Female,Black,,,No,Yes,Illinois,3/19/24,Representative,7,,17154,21.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Danny K. Davis,Male,Black,,,Yes,No,Illinois,3/19/24,Representative,7,H4IL07037,42248,52.45%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Kouri Marshall,Male,Black,,,No,Yes,Illinois,3/19/24,Representative,7,,2156,2.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Raja Krishnamoorthi,Male,Asian (Indian),,,Yes,No,Illinois,3/19/24,Representative,8,H6IL08147,34640,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Janice D. Schakowsky,Female,White,,,Yes,No,Illinois,3/19/24,Representative,9,H8IL09067,75106,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Brad Schneider,Male,White,,,Yes,No,Illinois,3/19/24,Representative,10,H2IL10068,37538,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Bill Foster,Male,White,,,Yes,No,Illinois,3/19/24,Representative,11,H8IL14067,35159,76.58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Qasim Rashid,Male,Asian (Pakistani),,,No,Yes,Illinois,3/19/24,Representative,11,,10754,23.42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Preston Gabriel Nelson,Male,White,,,No,No,Illinois,3/19/24,Representative,12,,7151,39.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Roberts,Male,White,,,No,No,Illinois,3/19/24,Representative,12,,10775,60.11%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nikki Budzinski,Female,White,,,Yes,No,Illinois,3/19/24,Representative,13,H2IL13153,32314,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,
Lauren Underwood,Female,Black,,,Yes,No,Illinois,3/19/24,Representative,14,H8IL14174,32400,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Eric Sorensen,Male,White,,,Yes,No,Illinois,3/19/24,Representative,17,H2IL17147,28533,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Greg Landsman,Male,White,,,Yes,No,Ohio,3/19/24,Representative,1,H2OH01194,28025,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Samantha Meadows,Female,White,,,No,No,Ohio,3/19/24,Representative,2,,15022,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joyce Beatty,Female,Black,,,Yes,No,Ohio,3/19/24,Representative,3,H2OH03125,46733,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Tamie Wilson,Female,Black,,,No,No,Ohio,3/19/24,Representative,4,,15149,63.39%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Thomas,Male,White,,,No,No,Ohio,3/19/24,Representative,4,,8748,36.61%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keith Mundy,Male,White,,,No,No,Ohio,3/19/24,Representative,5,,26920,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rylan Z. Finzer,Male,White,,,No,No,Ohio,3/19/24,Representative,6,,10480,33.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael L. Kripchak,Male,White,,,No,No,Ohio,3/19/24,Representative,6,,20632,66.32%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Doug Bugie,Male,White,,,No,No,Ohio,3/19/24,Representative,7,,7540,18.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Diemer,Male,White,,,No,No,Ohio,3/19/24,Representative,7,,33765,81.75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vanessa Enoch,Female,Black,,,No,No,Ohio,3/19/24,Representative,8,,15650,71.97%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David E. Gelb,Male,White,,,No,No,Ohio,3/19/24,Representative,8,,2407,11.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathaniel Hawkins,Male,hispanic,,,No,No,Ohio,3/19/24,Representative,8,,3689,16.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marcy Kaptur,Female,White,,,Yes,No,Ohio,3/19/24,Representative,9,H2OH09031,38398,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Amy Cox,Female,White,,,No,No,Ohio,3/19/24,Representative,10,,22640,63.33%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Esrati,Male,White,,,No,No,Ohio,3/19/24,Representative,10,,7767,21.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Kuzniar,Male,White,,,No,No,Ohio,3/19/24,Representative,10,,2046,5.72%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tony Pombo,Male,White,,,No,No,Ohio,3/19/24,Representative,10,,3296,9.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shontel Brown,Female,Black,,,Yes,No,Ohio,3/19/24,Representative,11,H2OH11169,61573,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Jerrad Christian,Male,White,,,No,No,Ohio,3/19/24,Representative,12,,22809,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emilia Sykes,Female,Black,,,Yes,No,Ohio,3/19/24,Representative,13,H2OH13264,41257,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Brian Bob Kenderes,Male,White,,,No,No,Ohio,3/19/24,Representative,14,,33769,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zerqa Z. Abid,Female,Asian (Pakistani),,,No,No,Ohio,3/19/24,Representative,15,,10399,35.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Adam Miller,Male,White,,,No,No,Ohio,3/19/24,Representative,15,,18648,64.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sherrod Brown,Male,White,,,Yes,No,Ohio,3/19/24,Senator,N/A,S6OH00163,535305,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Ashley Ehasz,Female,White,,,No,No,Pennsylvania,4/23/24,Representative,1,,68489,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Brendan F. Boyle,Male,White,,,Yes,No,Pennsylvania,4/23/24,Representative,2,H4PA13199,43997,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Dwight Evans,Male,Black,,,Yes,No,Pennsylvania,4/23/24,Representative,3,H6PA02171,93974,87.71%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Tracey Gordon,Female,Black,,,No,Yes,Pennsylvania,4/23/24,Representative,3,,13169,12.29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,
Madeleine Dean,Female,White,,,Yes,No,Pennsylvania,4/23/24,Representative,4,H8PA04116,78235,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Mary Gay Scanlon,Female,White,,,Yes,No,Pennsylvania,4/23/24,Representative,5,H8PA07200,70068,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Chrissy Houlahan,Female,White,,,Yes,No,Pennsylvania,4/23/24,Representative,6,H8PA06087,58552,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Susan Wild,Female,White,,,Yes,No,Pennsylvania,4/23/24,Representative,7,H8PA15229,55259,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,
Matt Cartwright,Male,White,,,Yes,No,Pennsylvania,4/23/24,Representative,8,H2PA17079,58573,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Amanda Waldman,Female,White,,,No,No,Pennsylvania,4/23/24,Representative,9,,34851,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Broadhurst,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,10,,2322,3.83%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rick Coplen,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,10,,5464,9.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shamaine Daniels,Female,hispanic,,,No,No,Pennsylvania,4/23/24,Representative,10,,8773,14.47%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Blake Lynch,Male,Black,,,No,No,Pennsylvania,4/23/24,Representative,10,,3388,5.59%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike O'Brien,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,10,,14103,23.26%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Janelle Stelson,Female,White,,,No,No,Pennsylvania,4/23/24,Representative,10,,26591,43.85%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Atkinson,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,11,,38559,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bhavini Patel,Female,Asian (Indian),,,No,Yes,Pennsylvania,4/23/24,Representative,12,,41902,39.35%,Lost,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,No,N/A,N/A,No,N/A,
Summer Lee,Female,Black,,,Yes,No,Pennsylvania,4/23/24,Representative,12,H2PA18200,64594,60.65%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,Yes,N/A,
Beth Farnham,Female,White,,,No,No,Pennsylvania,4/23/24,Representative,13,,32568,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ken Bach,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,14,,27193,48.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Dziados,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,14,,29268,51.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zach Womer,Male,White,,,No,No,Pennsylvania,4/23/24,Representative,15,,35574,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Preston Nouri,Male,Unknown,,,No,No,Pennsylvania,4/23/24,Representative,16,,49283,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Deluzio,Male,White,,,Yes,No,Pennsylvania,4/23/24,Representative,17,H2PA17103,85265,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Robert P. Casey Jr.,Male,White,,,Yes,No,Pennsylvania,4/23/24,Senator,N/A,S6PA00217,1024545,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Frank J. Mrvan,Male,White,,,Yes,No,Indiana,5/7/24,Representative,1,H0IN01150,31155,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Lori A. Camp,Female,White,,,No,No,Indiana,5/7/24,Representative,2,,13827,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kiley M. Adolph,Female,White,,,No,No,Indiana,5/7/24,Representative,3,,10286,62.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phil Goss,Male,White,,,No,No,Indiana,5/7/24,Representative,3,,6095,37.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rimpi K. Girn,Female,Asian (Indian),,,No,No,Indiana,5/7/24,Representative,4,,4436,36.53%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Derrick Holder,Male,White,,,No,No,Indiana,5/7/24,Representative,4,,7709,63.47%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ryan Pfenninger,Male,White,,,No,No,Indiana,5/7/24,Representative,5,,8082,40.53%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Deborah A. Pickett,Female,Unknown,,,No,No,Indiana,5/7/24,Representative,5,,11858,59.47%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cynthia (Cinde) Wirth,Female,White,,,No,No,Indiana,5/7/24,Representative,6,,11708,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
André Carson,Male,Black,,,Yes,No,Indiana,5/7/24,Representative,7,H8IN07184,30868,91.08%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Curtis Godfrey,Male,Black,,,No,Yes,Indiana,5/7/24,Representative,7,,1845,5.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Pierre Quincy Pullins,Male,Black,,,No,Yes,Indiana,5/7/24,Representative,7,,1178,3.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Erik Hurt,Male,White,,,No,No,Indiana,5/7/24,Representative,8,,8204,45.11%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter FH Priest II,Male,White,,,No,No,Indiana,5/7/24,Representative,8,,2098,11.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Edward Upton Sein,Male,White,,,No,No,Indiana,5/7/24,Representative,8,,4087,22.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Talarzyk,Male,White,,,No,No,Indiana,5/7/24,Representative,8,,3796,20.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
D. Liam Dorris,Male,White,,,No,No,Indiana,5/7/24,Representative,9,,7493,33.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Timothy (Tim) Peck,Male,White,,,No,No,Indiana,5/7/24,Representative,9,,14606,66.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marc Carmichael,Male,White,,,No,No,Indiana,5/7/24,Senator,N/A,,57256,31.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Valerie McCray,Female,Black,,,No,No,Indiana,5/7/24,Senator,N/A,,121734,68.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer G. McCormick,Female,White,,,No,No,Indiana,5/7/24,Governor,N/A,,180577,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Blane H. Miller, III",Male,White,,,No,No,Maryland,5/14/24,Representative,1,,26845,60.83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Blessing T. Oluwadare,Female,Black (Nigerian Immigrant),,,No,No,Maryland,5/14/24,Representative,1,,17289,39.17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Harry Bhandari,Male,Asian (Nepali Immigrant),,,No,No,Maryland,5/14/24,Representative,2,,7150,8.53%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Sia Kyriakakos,Female,White (Greek),,,No,No,Maryland,5/14/24,Representative,2,,4080,4.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
"John ""Johnny O"" Olszewski, Jr.",Male,white,,,No,No,Maryland,5/14/24,Representative,2,,65995,78.70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Sharron Reed-Burns,Female,black,,,No,No,Maryland,5/14/24,Representative,2,,3472,4.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Jessica Sjoberg,Female,white,,,No,No,Maryland,5/14/24,Representative,2,,1692,2.02%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
"Clint Spellman, Jr.",Male,black,,,No,No,Maryland,5/14/24,Representative,2,,1466,1.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
Harry Anthony Dunn,Male,black,,,No,No,Maryland,5/14/24,Representative,3,,20380,25.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,Yes,N/A,
Mark S. Chang,Male,asian (korean),,,No,No,Maryland,5/14/24,Representative,3,,4106,5.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Michael Coburn,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,583,0.72%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Malcolm Thomas Colombo,Male,white,,,No,No,Maryland,5/14/24,Representative,3,,527,0.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Abigail Diehl,Female,white,,,No,No,Maryland,5/14/24,Representative,3,,1379,1.69%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Juan Dominguez,Male,hispanic,,,No,No,Maryland,5/14/24,Representative,3,,1025,1.26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Lindsay Donahue,Female,white,,,No,No,Maryland,5/14/24,Representative,3,,1213,1.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
Sarah Elfreth,Female,white,,,No,No,Maryland,5/14/24,Representative,3,,29459,36.18%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,N/A,
