,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Ro Khanna,Male,Asian (Indian),,,Yes,No,California,3/5/24,Representative,17,H4CA12055,74004,87.85%,Won,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Charlene Concepción Nijmeh,Female,Indigenous/Native American,,,No,Yes,California,3/5/24,Representative,18,,10631,16.42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Lawrence Milan,Male,White,,,No,Yes,California,3/5/24,Representative,18,,2714,4.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Luele N. Kifle,Male,Black (Ethiopian),,,No,Yes,California,3/5/24,Representative,18,,2034,3.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Zoe Lofgren,Female,White,,,Yes,No,California,3/5/24,Representative,18,H4CA16049,49370,76.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Jimmy Panetta,Male,White,,,Yes,No,California,3/5/24,Representative,19,H6CA20152,132711,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Andy Morales,Male,hispanic,,,No,No,California,3/5/24,Representative,20,,4381,11.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marisa Wood,Female,White,,,No,No,California,3/5/24,Representative,20,,33509,88.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Costa,Male,White,,,Yes,No,California,3/5/24,Representative,21,H4CA20082,42697,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Melissa Hurtado,Female,hispanic,,,No,No,California,3/5/24,Representative,22,,8733,30.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,
Rudy Salas,Male,hispanic,,,No,No,California,3/5/24,Representative,22,,19592,69.17%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,
Derek Marshall,Male,White,,,No,No,California,3/5/24,Representative,23,,40477,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Helen Pasquarella,Female,hispanic (Brazilian),,,No,Yes,California,3/5/24,Representative,24,,17293,14.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Salud Carbajal,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,24,H6CA24303,102516,85.57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Oscar Ortiz,Male,hispanic,,,No,Yes,California,3/5/24,Representative,25,,10171,18.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,
