Personal Data,,,,,,,,Endorsement Data,,,Electoral Data,,,Factchecking Columns,,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,Trump,E-PAC,Winning for Women,Primary %,Primary Outcome,Chance of Winning (Nov 3),"Checked? (not H, J, K, L)",,Man vs. Woman?,"Checked? inc. H, J, K, P"
Phil Fortunato,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,9,Lost,,,WashingtonGovernorN/A,No,
Leon Aaron Lawson,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,2,Lost,,,WashingtonGovernorN/A,No,
Tim Eyman,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,14,Lost,,,WashingtonGovernorN/A,No,
Goodspaceguy,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,1,Lost,,,WashingtonGovernorN/A,No,
"Martin ""Iceman"" Wheeler",No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Raul Garcia,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,12,Lost,,,WashingtonGovernorN/A,No,
Tylor Grow,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Matthew Murray,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Anton Sakharov,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,1,Lost,,,WashingtonGovernorN/A,No,
Nate Herzog,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,1,Lost,,,WashingtonGovernorN/A,No,
Ian Gonzales,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Joshua Freed,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,20,Lost,,,WashingtonGovernorN/A,No,
Loren Culp,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,39,Advanced,,,WashingtonGovernorN/A,No,
Richard Carpenter,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Bill Hirt,No,Yes,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,0,Lost,,,WashingtonGovernorN/A,No,
Susan Collins,Yes,No,Maine,7/14/2020,Senator,N/A,Female,N/A,N/A,Yes,99,Won,,,MaineSenatorN/A,No,yes
Jay Allen,No,Yes,Maine,7/14/2020,Representative,1,Male,N/A,N/A,N/A,100,Won,,,MaineRepresentative1,No,
Adrienne Bennett,No,Yes,Maine,7/14/2020,Representative,2,Female,N/A,Yes,N/A,32,Lost,,,MaineRepresentative2,Yes,yes
Eric Brakey,No,Yes,Maine,7/14/2020,Representative,2,Male,N/A,No,N/A,23,Lost,,,MaineRepresentative2,Yes,
Dale Crafts,No,Yes,Maine,7/14/2020,Representative,2,Male,N/A,No,N/A,45,Won,,,MaineRepresentative2,Yes,
Eugene Anagnos,No,Yes,New Jersey,7/7/2020,Senator,N/A,Male,N/A,N/A,N/A,3,Lost,,,New JerseySenatorN/A,Yes,
Patricia Flanagan,No,Yes,New Jersey,7/7/2020,Senator,N/A,Female,N/A,N/A,N/A,18,Lost,,,New JerseySenatorN/A,Yes,yes
Rik Mehta,No,Yes,New Jersey,7/7/2020,Senator,N/A,Male,N/A,N/A,N/A,38,Won,,,New JerseySenatorN/A,Yes,
Natalie Rivera,No,Yes,New Jersey,7/7/2020,Senator,N/A,Female,N/A,N/A,N/A,5,Lost,,,New JerseySenatorN/A,Yes,yes
Hirsh Singh,No,Yes,New Jersey,7/7/2020,Senator,N/A,Male,N/A,N/A,N/A,36,Lost,,,New JerseySenatorN/A,Yes,
Claire Gustafson,No,Yes,New Jersey,7/7/2020,Representative,1,Female,N/A,N/A,N/A,100,Won,,,New JerseyRepresentative1,No,yes
Jeff Van Drew,Yes,No,New Jersey,7/7/2020,Representative,2,Male,Yes,N/A,N/A,82,Won,,yes,New JerseyRepresentative2,No,
Bob Patterson,No,No,New Jersey,7/7/2020,Representative,2,Male,No,N/A,N/A,18,Lost,,,New JerseyRepresentative2,No,
Kate Gibbs,No,Yes,New Jersey,7/7/2020,Representative,3,Female,N/A,N/A,N/A,39,Lost,,,New JerseyRepresentative3,Yes,yes
David Richter,No,Yes,New Jersey,7/7/2020,Representative,3,Male,N/A,N/A,N/A,61,Won,,,New JerseyRepresentative3,Yes,
Chris Smith,Yes,No,New Jersey,7/7/2020,Representative,4,Male,N/A,N/A,N/A,95,Won,,,New JerseyRepresentative4,No,
Alter Eliezer Richter,No,No,New Jersey,7/7/2020,Representative,4,Male,N/A,N/A,N/A,5,Lost,,,New JerseyRepresentative4,No,
James Baldini,No,Yes,New Jersey,7/7/2020,Representative,5,Male,N/A,N/A,N/A,10,Lost,,,New JerseyRepresentative5,No,
Hector Castillo,No,Yes,New Jersey,7/7/2020,Representative,5,Male,N/A,N/A,N/A,6,Lost,,,New JerseyRepresentative5,No,
John McCann,No,Yes,New Jersey,7/7/2020,Representative,5,Male,N/A,N/A,N/A,32,Lost,,,New JerseyRepresentative5,No,
Frank Pallotta,No,Yes,New Jersey,7/7/2020,Representative,5,Male,N/A,N/A,N/A,52,Won,,,New JerseyRepresentative5,No,
Raafat Barsoom,No,Yes,New Jersey,7/7/2020,Representative,7,Male,N/A,N/A,N/A,11,Lost,,,New JerseyRepresentative7,No,
Tom Kean Jr.,No,Yes,New Jersey,7/7/2020,Representative,7,Male,N/A,N/A,N/A,79,Won,,,New JerseyRepresentative7,No,
Tom Phillips,No,Yes,New Jersey,7/7/2020,Representative,7,Male,N/A,N/A,N/A,10,Lost,,,New JerseyRepresentative7,No,
Jason Mushnick,No,Yes,New Jersey,7/7/2020,Representative,8,Male,N/A,N/A,N/A,100,Won,,,New JerseyRepresentative8,No,
Billy Prempeh,No,Yes,New Jersey,7/7/2020,Representative,9,Male,N/A,N/A,N/A,74,Won,,,New JerseyRepresentative9,No,
Tim Walsh,No,Yes,New Jersey,7/7/2020,Representative,9,Male,N/A,N/A,N/A,26,Lost,,,New JerseyRepresentative9,No,
Jen Zinone,No,Yes,New Jersey,7/7/2020,Representative,10,Female,N/A,N/A,N/A,100,Won,,,New JerseyRepresentative10,No,yes
Rosemary Becchi,No,Yes,New Jersey,7/7/2020,Representative,11,Female,N/A,Yes,N/A,100,Won,,,New JerseyRepresentative11,No,yes
Mark Razzoli,No,Yes,New Jersey,7/7/2020,Representative,12,Male,N/A,N/A,N/A,100,Won,,,New JerseyRepresentative12,No,
Cory Gardner,Yes,No,Colorado,6/30/2020,Senator,N/A,Male,Yes,N/A,N/A,100,Won,,yes,ColoradoSenatorN/A,No,
Shane Bolling,No,Yes,Colorado,6/30/2020,Representative,1,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative1,No,
Charlie Winn,No,Yes,Colorado,6/30/2020,Representative,2,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative2,No,
Lauren Boebert,No,No,Colorado,6/30/2020,Representative,3,Female,No,N/A,N/A,55,Won,,,ColoradoRepresentative3,Yes,yes
Scott Tipton ,Yes,No,Colorado,6/30/2020,Representative,3,Male,Yes,N/A,N/A,45,Lost,,yes,ColoradoRepresentative3,Yes,
Ken Buck,Yes,No,Colorado,6/30/2020,Representative,4,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative4,No,
Doug Lamborn,Yes,No,Colorado,6/30/2020,Representative,5,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative5,No,
Steve House,No,Yes,Colorado,6/30/2020,Representative,6,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative6,No,
Casper Stockham,No,Yes,Colorado,6/30/2020,Representative,7,Male,N/A,N/A,N/A,100,Won,,,ColoradoRepresentative7,No,
Jim Inhofe,Yes,No,Oklahoma,6/30/2020,Senator,N/A,Male,Yes,N/A,N/A,74,Won,,yes,OklahomaSenatorN/A,No,
JJ Stitt,No,No,Oklahoma,6/30/2020,Senator,N/A,Male,No,N/A,N/A,15,Lost,,,OklahomaSenatorN/A,No,
John Tompkins,No,No,Oklahoma,6/30/2020,Senator,N/A,Male,No,N/A,N/A,6,Lost,,,OklahomaSenatorN/A,No,
Neil Mavis,No,No,Oklahoma,6/30/2020,Senator,N/A,Male,No,N/A,N/A,4,Lost,,,OklahomaSenatorN/A,No,
Kevin Hern,Yes,No,Oklahoma,6/30/2020,Representative,1,Male,Yes,N/A,N/A,100,Won,,yes,OklahomaRepresentative1,No,
Markwayne Mullin,Yes,No,Oklahoma,6/30/2020,Representative,2,Male,Yes,N/A,N/A,80,Won,,yes,OklahomaRepresentative2,Yes,
Joseph Silk,No,No,Oklahoma,6/30/2020,Representative,2,Male,No,N/A,N/A,13,Lost,,,OklahomaRepresentative2,Yes,
Rhonda Hopkins,No,No,Oklahoma,6/30/2020,Representative,2,Female,No,N/A,N/A,7,Lost,,,OklahomaRepresentative2,Yes,yes
Frank Lucas,Yes,No,Oklahoma,6/30/2020,Representative,3,Male,Yes,N/A,N/A,100,Won,,yes,OklahomaRepresentative3,No,
James Taylor,No,No,Oklahoma,6/30/2020,Representative,4,Male,No,N/A,N/A,15,Lost,,,OklahomaRepresentative4,No,
Tom Cole,Yes,No,Oklahoma,6/30/2020,Representative,4,Male,Yes,N/A,N/A,76,Won,,yes,OklahomaRepresentative4,No,
Trevor Sipes,No,No,Oklahoma,6/30/2020,Representative,4,Male,No,N/A,N/A,6,Lost,,,OklahomaRepresentative4,No,
Gilbert Sanders,No,No,Oklahoma,6/30/2020,Representative,4,Male,No,N/A,N/A,3,Lost,,,OklahomaRepresentative4,No,
Janet Barresi,No,Yes,Oklahoma,6/30/2020,Representative,5,Female,N/A,No,N/A,10,Lost,,,OklahomaRepresentative5,Yes,yes
Tuffy Pringle,No,Yes,Oklahoma,6/30/2020,Representative,5,Male,N/A,No,N/A,1,Lost,,,OklahomaRepresentative5,Yes,
David Hill,No,Yes,Oklahoma,6/30/2020,Representative,5,Male,N/A,No,N/A,19,Lost,,,OklahomaRepresentative5,Yes,
Terry Neese,No,Yes,Oklahoma,6/30/2020,Representative,5,Female,N/A,No,N/A,36,Lost,,yes,OklahomaRepresentative5,Yes,yes
Michael Ballard,No,Yes,Oklahoma,6/30/2020,Representative,5,Male,N/A,No,N/A,2,Lost,,,OklahomaRepresentative5,Yes,
Miles Rahimi,No,Yes,Oklahoma,6/30/2020,Representative,5,Male,N/A,No,N/A,1,Lost,,,OklahomaRepresentative5,Yes,
Shelli Landon,No,Yes,Oklahoma,6/30/2020,Representative,5,Female,N/A,No,N/A,1,Lost,,,OklahomaRepresentative5,Yes,yes
Stephanie Bice,No,Yes,Oklahoma,6/30/2020,Representative,5,Female,N/A,Yes,N/A,25,Won,,bice,OklahomaRepresentative5,Yes,yes
Jake Merrick,No,Yes,Oklahoma,6/30/2020,Representative,5,Male,N/A,No,N/A,3,Lost,,,OklahomaRepresentative5,Yes,
Katie Witt,No,Yes,Utah,6/30/2020,Representative,1,Female,N/A,N/A,N/A,17,Lost,,,UtahRepresentative1,Yes,yes
Bob Stevenson,No,Yes,Utah,6/30/2020,Representative,1,Male,N/A,N/A,N/A,29,Lost,,,UtahRepresentative1,Yes,
Blake Moore,No,Yes,Utah,6/30/2020,Representative,1,Male,N/A,N/A,N/A,31,Won,,,UtahRepresentative1,Yes,
Kerry Gibson,No,Yes,Utah,6/30/2020,Representative,1,Male,N/A,N/A,N/A,24,Lost,,,UtahRepresentative1,Yes,
Burgess Owens,No,Yes,Utah,6/30/2020,Representative,4,Male,N/A,N/A,N/A,44,Won,,,UtahRepresentative4,Yes,
Kim Coleman,No,Yes,Utah,6/30/2020,Representative,4,Female,N/A,N/A,N/A,24,Lost,,,UtahRepresentative4,Yes,yes
Trent Christensen,No,Yes,Utah,6/30/2020,Representative,4,Male,N/A,N/A,N/A,11,Lost,,,UtahRepresentative4,Yes,
Jay Mcfarland,No,Yes,Utah,6/30/2020,Representative,4,Male,N/A,N/A,N/A,22,Lost,,,UtahRepresentative4,Yes,
Thomas Wright,No,Yes,Utah,6/30/2020,Governor,N/A,Male,N/A,N/A,N/A,8,Lost,,,UtahGovernorN/A,No,
Spencer Cox,No,Yes,Utah,6/30/2020,Governor,N/A,Male,N/A,N/A,N/A,36,Won,,,UtahGovernorN/A,No,
Jon Huntsman Jr.,No,Yes,Utah,6/30/2020,Governor,N/A,Male,N/A,N/A,N/A,35,Lost,,,UtahGovernorN/A,No,
Greg Hughes,No,Yes,Utah,6/30/2020,Governor,N/A,Male,N/A,N/A,N/A,21,Lost,,,UtahGovernorN/A,No,
Nicholas Alsager,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,KentuckySenatorN/A,No,
Paul John Frangedakis,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,3,Lost,,,KentuckySenatorN/A,No,
Louis Grider,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,3,Lost,,,KentuckySenatorN/A,No,
Naren James,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,3,Lost,,,KentuckySenatorN/A,No,
Kenneth Lowndes,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,KentuckySenatorN/A,No,
Mitch McConnell,Yes,No,Kentucky,6/23/2020,Senator,N/A,Male,Yes,N/A,N/A,83,Won,,yes,KentuckySenatorN/A,No,
C. Wesley Morgan,No,No,Kentucky,6/23/2020,Senator,N/A,Male,No,N/A,N/A,6,Lost,,,KentuckySenatorN/A,No,
James Comer,Yes,No,Kentucky,6/23/2020,Representative,1,Male,Yes,N/A,N/A,100,Won,,yes,KentuckyRepresentative1,No,
Kathleen Free,No,No,Kentucky,6/23/2020,Representative,2,Female,No,N/A,N/A,11,Lost,,,KentuckyRepresentative2,Yes,yes
Brett Guthrie,Yes,No,Kentucky,6/23/2020,Representative,2,Male,Yes,N/A,N/A,89,Won,,yes,KentuckyRepresentative2,Yes,
Mike Craven,No,Yes,Kentucky,6/23/2020,Representative,3,Male,N/A,N/A,N/A,42,Lost,,,KentuckyRepresentative3,Yes,
Waymen Eddings,No,Yes,Kentucky,6/23/2020,Representative,3,Male,N/A,N/A,N/A,16,Lost,,,KentuckyRepresentative3,Yes,
Rhonda Palazzo,No,Yes,Kentucky,6/23/2020,Representative,3,Female,N/A,N/A,N/A,42,Won,,,KentuckyRepresentative3,Yes,yes
Thomas Massie,Yes,No,Kentucky,6/23/2020,Representative,4,Male,N/A,N/A,N/A,81,Won,,,KentuckyRepresentative4,No,
Todd McMurtry,No,No,Kentucky,6/23/2020,Representative,4,Male,N/A,N/A,N/A,19,Lost,,,KentuckyRepresentative4,No,
Hal Rogers,Yes,No,Kentucky,6/23/2020,Representative,5,Male,Yes,N/A,N/A,91,Won,,yes,KentuckyRepresentative5,No,
Gerardo Serrano,No,No,Kentucky,6/23/2020,Representative,5,Male,No,N/A,N/A,9,Lost,,,KentuckyRepresentative5,No,
Andy Barr,Yes,No,Kentucky,6/23/2020,Representative,6,Male,N/A,N/A,N/A,91,Won,,,KentuckyRepresentative6,No,
Chuck Eddy,No,No,Kentucky,6/23/2020,Representative,6,Male,N/A,N/A,N/A,5,Lost,,,KentuckyRepresentative6,No,
Geoff Young,No,No,Kentucky,6/23/2020,Representative,6,Male,N/A,N/A,N/A,4,Lost,,,KentuckyRepresentative6,No,
Lee Zeldin,Yes,No,New York,6/23/2020,Representative,1,Male,Yes,N/A,N/A,,Won,,yes,New YorkRepresentative1,No,
Mike LiPetri,No,Yes,New York,6/23/2020,Representative,2,Male,N/A,N/A,N/A,,Lost,,,New YorkRepresentative2,No,
Andrew Garbarino,No,Yes,New York,6/23/2020,Representative,2,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative2,No,
George Santos,No,Yes,New York,6/23/2020,Representative,3,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative3,No,
Cindy Grosz,No,Yes,New York,6/23/2020,Representative,4,Female,N/A,N/A,N/A,,Lost,,,New YorkRepresentative4,Yes,yes
Douglas Tuman,No,Yes,New York,6/23/2020,Representative,4,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative4,Yes,
Tom Zmich,No,Yes,New York,6/23/2020,Representative,6,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative6,No,
Brian Kelly,No,Yes,New York,6/23/2020,Representative,7,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative7,No,
Garfield Wallace,No,Yes,New York,6/23/2020,Representative,8,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative8,No,
Constantin Jean-Pierre,No,Yes,New York,6/23/2020,Representative,9,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative9,No,
Cathy Bernstein,No,Yes,New York,6/23/2020,Representative,10,Female,N/A,N/A,N/A,,Won,,,New YorkRepresentative10,No,yes
Nicole Malliotakis,No,Yes,New York,6/23/2020,Representative,11,Female,Yes,Yes,Yes,,Won,,yes,New YorkRepresentative11,Yes,yes
Joe Caldarera,No,Yes,New York,6/23/2020,Representative,11,Male,No,No,No,,Lost,,,New YorkRepresentative11,Yes,
Carlos Santiago-Cano,No,Yes,New York,6/23/2020,Representative,12,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative12,No,
Lovelynn Gwinn,No,Yes,New York,6/23/2020,Representative,13,Female,N/A,N/A,N/A,,Won,,,New YorkRepresentative13,No,yes
John Cummings,No,Yes,New York,6/23/2020,Representative,14,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative14,No,
Orlando Molina,No,Yes,New York,6/23/2020,Representative,15,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative15,No,
Maureen McArdle Schulman,No,Yes,New York,6/23/2020,Representative,17,Female,N/A,N/A,N/A,,Won,,,New YorkRepresentative17,No,yes
Yehudis Gottesfeld,No,Yes,New York,6/23/2020,Representative,17,Female,N/A,N/A,N/A,,Lost,,,New YorkRepresentative17,No,yes
Chele Farley,No,Yes,New York,6/23/2020,Representative,18,Female,N/A,Yes,Yes,,Won,,,New YorkRepresentative18,No,yes
Ola Hawatmeh,No,Yes,New York,6/23/2020,Representative,19,Female,N/A,N/A,N/A,,Lost,,,New YorkRepresentative19,Yes,yes
Kyle Van De Water,No,Yes,New York,6/23/2020,Representative,19,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative19,Yes,
Elizabeth Joy,No,Yes,New York,6/23/2020,Representative,20,Female,N/A,N/A,N/A,,Won,,,New YorkRepresentative20,No,yes
Elise Stefanik,Yes,No,New York,6/23/2020,Representative,21,Female,N/A,N/A,Yes,,Won,,,New YorkRepresentative21,No,yes
Claudia Tenney,No,Yes,New York,6/23/2020,Representative,22,Female,Yes,Yes,Yes,,Won,,yes,New YorkRepresentative22,Yes,yes
George Phillips,No,Yes,New York,6/23/2020,Representative,22,Male,No,No,No,,Lost,,,New YorkRepresentative22,Yes,
Tom Reed,Yes,No,New York,6/23/2020,Representative,23,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative23,No,
John Katko,Yes,No,New York,6/23/2020,Representative,24,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative24,No,
George Mitris,No,Yes,New York,6/23/2020,Representative,25,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative25,No,
Ricky Donovan Sr.,No,Yes,New York,6/23/2020,Representative,26,Male,N/A,N/A,N/A,,Won,,,New YorkRepresentative26,No,
Stefan Mychajliw,No,Yes,New York,6/23/2020,Representative,27,Male,No,N/A,N/A,,Lost,,,New YorkRepresentative27,Yes,
Beth Parlato,No,Yes,New York,6/23/2020,Representative,27,Female,No,N/A,N/A,,Lost,,,New YorkRepresentative27,Yes,yes
Chris Jacobs,No,Yes,New York,6/23/2020,Representative,27,Male,Yes,N/A,N/A,,Won,,yes,New YorkRepresentative27,Yes,
Daniel Gade,No,Yes,Virginia,6/23/2020,Senator,N/A,Male,N/A,N/A,N/A,67,Won,,,VirginiaSenatorN/A,Yes,
Thomas Speciale,No,Yes,Virginia,6/23/2020,Senator,N/A,Male,N/A,N/A,N/A,14,Lost,,,VirginiaSenatorN/A,Yes,
Alissa Baldwin,No,Yes,Virginia,6/23/2020,Senator,N/A,Female,N/A,N/A,N/A,18,Lost,,,VirginiaSenatorN/A,Yes,yes
Rob Wittman,Yes,No,Virginia,6/23/2020,Representative,1,Male,N/A,N/A,N/A,100,Won,,,VirginiaRepresentative1,No,
Ben Loyola,No,Yes,Virginia,6/23/2020,Representative,2,Male,No,N/A,N/A,29,Lost,,,VirginiaRepresentative2,No,
Scott Taylor,No,Yes,Virginia,6/23/2020,Representative,2,Male,Yes,N/A,N/A,49,Won,,yes,VirginiaRepresentative2,No,
Jarome Bell,No,Yes,Virginia,6/23/2020,Representative,2,Male,No,N/A,N/A,22,Lost,,,VirginiaRepresentative2,No,
Madison Downs,No,Yes,Virginia,6/23/2020,Representative,3,Male,N/A,N/A,N/A,34,Lost,,,VirginiaRepresentative3,No,
John Collick,No,Yes,Virginia,6/23/2020,Representative,3,Male,N/A,N/A,N/A,40,Won,,,VirginiaRepresentative3,No,
George Yacus,No,Yes,Virginia,6/23/2020,Representative,3,Male,N/A,N/A,N/A,26,Lost,,,VirginiaRepresentative3,No,
Ben Cline,Yes,No,Virginia,6/23/2020,Representative,6,Male,N/A,N/A,N/A,100,Won,,,VirginiaRepresentative6,No,
Morgan Griffith,Yes,No,Virginia,6/23/2020,Representative,9,Male,N/A,N/A,N/A,100,Won,,,VirginiaRepresentative9,No,
David Perdue,Yes,No,Georgia,6/9/2020,Senator,N/A,Male,N/A,N/A,N/A,100,Won,,,GeorgiaSenatorN/A,No,
Buddy Carter,Yes,No,Georgia,6/9/2020,Representative,1,Male,Yes,N/A,N/A,82,Won,,yes,GeorgiaRepresentative1,No,
Danny Merritt,No,No,Georgia,6/9/2020,Representative,1,Male,No,N/A,N/A,16,Lost,,,GeorgiaRepresentative1,No,
Ken Yasger,No,No,Georgia,6/9/2020,Representative,1,Male,No,N/A,N/A,1,Lost,,,GeorgiaRepresentative1,No,
Vivian Childs,No,Yes,Georgia,6/9/2020,Representative,2,Female,N/A,N/A,N/A,47,Lost,,,GeorgiaRepresentative2,Yes,yes
Don Cole,No,Yes,Georgia,6/9/2020,Representative,2,Male,N/A,N/A,N/A,53,Won,,,GeorgiaRepresentative2,Yes,
Drew Ferguson,Yes,No,Georgia,6/9/2020,Representative,3,Male,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative3,No,
Johsie Cruz,No,Yes,Georgia,6/9/2020,Representative,4,Female,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative4,No,yes
Angela Stanton-King,No,Yes,Georgia,6/9/2020,Representative,5,Female,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative5,No,yes
Mykel Barthelemy,No,Yes,Georgia,6/9/2020,Representative,6,Female,No,No,No,4,Lost,,,GeorgiaRepresentative6,Yes,yes
Karen Handel,No,Yes,Georgia,6/9/2020,Representative,6,Female,Yes,Yes,Yes,74,Won,,yes,GeorgiaRepresentative6,Yes,yes
Blake Harbin,No,Yes,Georgia,6/9/2020,Representative,6,Male,No,No,No,5,Lost,,,GeorgiaRepresentative6,Yes,
Joe Profit,No,Yes,Georgia,6/9/2020,Representative,6,Male,No,No,No,15,Lost,,,GeorgiaRepresentative6,Yes,
Paulette Smith,No,Yes,Georgia,6/9/2020,Representative,6,Female,No,No,No,2,Lost,,,GeorgiaRepresentative6,Yes,yes
Lisa Noël Babbage,No,Yes,Georgia,6/9/2020,Representative,7,Female,N/A,N/A,N/A,5,Lost,,,GeorgiaRepresentative7,Yes,yes
Mark Gonsalves,No,Yes,Georgia,6/9/2020,Representative,7,Male,N/A,N/A,N/A,7,Lost,,,GeorgiaRepresentative7,Yes,
Lynne Homrich,No,Yes,Georgia,6/9/2020,Representative,7,Female,N/A,N/A,N/A,7,Lost,,,GeorgiaRepresentative7,Yes,yes
Zachary Kennemore,No,Yes,Georgia,6/9/2020,Representative,7,Male,N/A,N/A,N/A,2,Lost,,,GeorgiaRepresentative7,Yes,
Rich McCormick,No,Yes,Georgia,6/9/2020,Representative,7,Male,N/A,N/A,N/A,55,Won,,,GeorgiaRepresentative7,Yes,
Renee Unterman,No,Yes,Georgia,6/9/2020,Representative,7,Female,N/A,N/A,N/A,17,Lost,,,GeorgiaRepresentative7,Yes,yes
Eugene Yu,No,Yes,Georgia,6/9/2020,Representative,7,Male,N/A,N/A,N/A,6,Lost,,,GeorgiaRepresentative7,Yes,
Vance Dean,No,No,Georgia,6/9/2020,Representative,8,Male,No,N/A,N/A,6,Lost,,,GeorgiaRepresentative8,No,
Danny Ellyson,No,No,Georgia,6/9/2020,Representative,8,Male,No,N/A,N/A,4,Lost,,,GeorgiaRepresentative8,No,
Austin Scott,Yes,No,Georgia,6/9/2020,Representative,8,Male,Yes,N/A,N/A,90,Won,,yes,GeorgiaRepresentative8,No,
Michael Boggus,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,3,Lost,,,GeorgiaRepresentative9,Yes,
Paul Broun,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,13,Lost,,,GeorgiaRepresentative9,Yes,
Andrew Clyde,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,18,Won,,,GeorgiaRepresentative9,Yes,
Matt Gurtler,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,21,Lost,,,GeorgiaRepresentative9,Yes,
Maria Strickland,No,Yes,Georgia,6/9/2020,Representative,9,Female,N/A,N/A,N/A,3,Lost,,,GeorgiaRepresentative9,Yes,yes
Kevin Tanner,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,16,Lost,,,GeorgiaRepresentative9,Yes,
Ethan Underwood,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,9,Lost,,,GeorgiaRepresentative9,Yes,
Kellie Weeks,No,Yes,Georgia,6/9/2020,Representative,9,Female,N/A,N/A,N/A,5,Lost,,,GeorgiaRepresentative9,Yes,yes
John Wilkinson,No,Yes,Georgia,6/9/2020,Representative,9,Male,N/A,N/A,N/A,12,Lost,,,GeorgiaRepresentative9,Yes,
Jody Hice,Yes,No,Georgia,6/9/2020,Representative,10,Male,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative10,No,
Barry Loudermilk,Yes,No,Georgia,6/9/2020,Representative,11,Male,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative11,No,
Rick Allen,Yes,No,Georgia,6/9/2020,Representative,12,Male,N/A,N/A,N/A,100,Won,,,GeorgiaRepresentative12,No,
Caesar Gonzales,No,Yes,Georgia,6/9/2020,Representative,13,Male,N/A,N/A,N/A,31,Lost,,,GeorgiaRepresentative13,Yes,
Becky Hites,No,Yes,Georgia,6/9/2020,Representative,13,Female,N/A,N/A,N/A,69,Won,,,GeorgiaRepresentative13,Yes,yes
John Barge,No,Yes,Georgia,6/9/2020,Representative,14,Male,N/A,N/A,N/A,9,Lost,,,GeorgiaRepresentative14,Yes,
Ben Bullock,No,Yes,Georgia,6/9/2020,Representative,14,Male,N/A,N/A,N/A,4,Lost,,,GeorgiaRepresentative14,Yes,
Kevin Cooke,No,Yes,Georgia,6/9/2020,Representative,14,Male,N/A,N/A,N/A,6,Lost,,,GeorgiaRepresentative14,Yes,
