,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Alysia Rieg,Female,Asian (Vietnamese),White,,N/A,,Maya,,No,Yes,Texas,3/1/2022,Representative,12,"6,662",11%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Ronny Jackson,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,13,"71,554",100%,Won,N/A,N/A,N/A,Yes,12/13/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keith Casey,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,14,"5,178",8%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ruben Landon Dante,Male,Latino,,,Yes,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Representative,14,"1,854",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Randy Weber,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,14,"58,439",89%,Won,N/A,N/A,N/A,Yes,2/16/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sara Canady,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,"2,741",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Aizar Cavazos,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,504,2%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Vangela Churchill,Female,Latino,,,N/A,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,15,298,1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Monica De La Cruz,Female,Latino (Mexican),,,Yes,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,15,"16,835",57%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,Yes,N/A,Yes,Yes,Yes,Yes,
Mauro Garza,Male,Latino,,,?,2/28/2023,Nathaniel,Shared Ted Cruz post saying he was voting no on certification,No,No,Texas,3/1/2022,Representative,15,"4,544",15%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Angela Juarez,Female,Unknown,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,416,1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Ryan Krause,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,"2,728",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
John C. Lerma,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,658,2%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Steve Schmuker Jr,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,15,"1,064",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,No,No,
Irene Armendariz-Jackson,Female,Latino (Mexican),,,Yes,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,16,"12,623",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Her campaign material hyphenates her last name; the Texas SOS site incorrectly lists her first name and first surname as one word
Paulette Carson,Female,White,,,Yes,3/5/2023,Kaleigh,,No,Yes,Texas,3/1/2022,Representative,17,"7,246",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Link says Carson is running in TX-8, but she's actually running in TX-17"
"Jason ""Stormchaser"" Nelson",Male,White,,,Yes,,Maya,,No,Yes,Texas,3/1/2022,Representative,17,"8,371",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rob Rosenberger,Male,White,,,No,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Representative,17,"5,100",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pete Sessions,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,17,"48,222",70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carmen Maria Montiel,Female,Latino (Venezuelan),,,Yes,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,18,"11,087",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jodey C. Arrington,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,19,"68,503",100%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kyle Sinclair,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,20,"15,938",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Alexander French,Male,White,,,N/A,3/5/2023,Kaleigh,,No,Yes,Texas,3/1/2022,Representative,21,"3,886",4%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Lowry,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,21,"7,642",8%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Chip Roy,Male,White,,,No,12/1/2022,N/A (checked against interactive),,Yes,No,Texas,3/1/2022,Representative,21,"78,087",83%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Dana Zavorka,Female,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,21,"4,206",4%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Troy E. Nehls,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,22,"50,281",87%,Won,N/A,N/A,N/A,Yes,2/16/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregory Jonathan Thorne,Male,White,,,No?,,Maya,"Affirms that Biden won, but has questions about 2020 election integrity",No,Yes,Texas,3/1/2022,Representative,22,"7,378",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alma Arredondo-Lynch,Female,Latino (Mexican),,,Yes,2/28/2023,Nathaniel,Participated in insurrection,No,Yes,Texas,3/1/2022,Representative,23,"7,261",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alía Garcia,Female,White,,,?,3/5/2023,Kaleigh,"""We know massive voter fraud was committed in the 2020 U.S. Presidential Election.""",No,Yes,Texas,3/1/2022,Representative,23,"3,235",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tony Gonzales,Male,Latino (Mexican),,,No?,12/1/2022,N/A (checked against interactive),,Yes,No,Texas,3/1/2022,Representative,23,"37,212",78%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Beth Van Duyne,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,24,"61,768",85%,Won,N/A,N/A,N/A,Yes,12/10/2021,N/A,N/A,N/A,N/A,Yes,Yes,Yes,
Nate Weymouth,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,24,"10,868",15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,No,
Roger Williams,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,25,"69,418",100%,Won,N/A,N/A,N/A,Yes,12/10/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Brazeal,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,26,"5,892",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael C. Burgess,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,26,"42,006",67%,Won,N/A,N/A,N/A,Yes,12/10/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vincent Gallo,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,26,"6,437",10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raven Harrison,Female,Black,,,N/A,,Maya,,No,Yes,Texas,3/1/2022,Representative,26,"3,427",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
