Personal Data,,,,,,,,Endorsement Data,,,,,,,,,,Electoral Data,,,,Factchecking Columns,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sanders,AOC,Party Committee,Biden,Obama,Primary %,Primary Outcome,"Checked? (not H, I, T)",,Man vs. Woman?,"Checked? inc. H, I, T, W",Notes
Paula Overby,No,No,Minnesota,8/11/2020,Senator,N/A,Female,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Lost,,MinnesotaSenatorN/A,Yes,yes,
Chris Seymore,No,No,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,MinnesotaSenatorN/A,Yes,,
Tina Smith,Yes,No,Minnesota,8/11/2020,Senator,N/A,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,Won,,MinnesotaSenatorN/A,Yes,yes,
Dan Feehan,No,Yes,Minnesota,8/11/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,100,Won,yes,MinnesotaRepresentative1,No,,
Angie Craig,Yes,No,Minnesota,8/11/2020,Representative,2,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MinnesotaRepresentative2,No,yes,
Dean Phillips,Yes,No,Minnesota,8/11/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,Won,,MinnesotaRepresentative3,No,,
Cole Young,No,No,Minnesota,8/11/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Lost,,MinnesotaRepresentative3,No,,
Tiffini Flynn Forslund,No,No,Minnesota,8/11/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Lost,,MinnesotaRepresentative4,Yes,yes,
Alberder Gillespie,No,No,Minnesota,8/11/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,Lost,,MinnesotaRepresentative4,Yes,yes,
Betty McCollum,Yes,No,Minnesota,8/11/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,Won,,MinnesotaRepresentative4,Yes,yes,
Reid Rossell,No,No,Minnesota,8/11/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,MinnesotaRepresentative4,Yes,,
David Sandbeck,No,No,Minnesota,8/11/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,MinnesotaRepresentative4,Yes,,
Les Lester,No,No,Minnesota,8/11/2020,Representative,5,Male,N/A,No,No,No,No,No,No,N/A,N/A,N/A,1,Lost,,MinnesotaRepresentative5,Yes,,
John Mason,No,No,Minnesota,8/11/2020,Representative,5,Male,N/A,No,No,No,No,No,No,N/A,N/A,N/A,2,Lost,,MinnesotaRepresentative5,Yes,,
Daniel Patrick McCarthy,No,No,Minnesota,8/11/2020,Representative,5,Male,N/A,No,No,No,No,No,No,N/A,N/A,N/A,1,Lost,,MinnesotaRepresentative5,Yes,,
Antone Melton-Meaux,No,No,Minnesota,8/11/2020,Representative,5,Male,N/A,No,No,No,No,No,No,N/A,N/A,N/A,39,Lost,,MinnesotaRepresentative5,Yes,,
Ilhan Omar,Yes,No,Minnesota,8/11/2020,Representative,5,Female,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,58,Won,yes,MinnesotaRepresentative5,Yes,yes,
Tawnja Zahradka,No,Yes,Minnesota,8/11/2020,Representative,6,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MinnesotaRepresentative6,No,yes,
Stephen A. Emery,No,No,Minnesota,8/11/2020,Representative,7,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Lost,,MinnesotaRepresentative7,Yes,,
Alycia R. Gruenhagen,No,No,Minnesota,8/11/2020,Representative,7,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,Lost,,MinnesotaRepresentative7,Yes,yes,
Collin Peterson,Yes,No,Minnesota,8/11/2020,Representative,7,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,Won,,MinnesotaRepresentative7,Yes,,
Quinn Nystrom,No,Yes,Minnesota,8/11/2020,Representative,8,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MinnesotaRepresentative8,No,yes,
"Ralph ""Carcajou"" Corbo",No,No,Vermont,8/11/2020,Representative,At-Large,Male,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,4,Lost,,VermontRepresentativeAt-Large,No,,
Peter Welch,Yes,No,Vermont,8/11/2020,Representative,At-Large,Male,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,93,Won,yes,VermontRepresentativeAt-Large,No,,
"Ralph ""Carcajou"" Corbo",No,Yes,Vermont,8/11/2020,Governor,N/A,Male,No,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,1,Lost,,VermontGovernorN/A,Yes,,
